Sales Person,Product,Date,Sales,Boxes,Expenses,Category,Team,,,
Barr Faughny,Raspberry Choco,01-Aug-21,8414,495,2898,Bars,Yummies,,,
Dennison Crosswaite,White Choc,01-Aug-21,532,54,12,Other,Yummies,,,
Karlen McCaffrey,99% Dark & Pure,01-Aug-21,5376,269,1166,Bars,Yummies,,,
Barr Faughny,Baker's Choco Chips,01-Aug-21,259,22,127,Bars,Yummies,,,
Beverie Moffet,Manuka Honey Choco,01-Aug-21,5530,179,1328,Other,Jucies,,,
Rafaelita Blaksland,85% Dark Bars,01-Aug-21,2184,122,94,Bars,Yummies,,,
Oby Sorrel,Raspberry Choco,01-Aug-21,1057,71,511,Bars,Jucies,,,
Dotty Strutley,Organic Choco Syrup,01-Aug-21,1036,37,76,Other,Delish,,,
Brien Boise,Caramel Stuffed Bars,01-Aug-21,4039,176,165,Bars,Jucies,,,
Curtice Advani,Milk Bars,01-Aug-21,12894,478,838,Bars,Delish,,,
Madelene Upcott,Milk Bars,01-Aug-21,4669,180,379,Bars,Jucies,,,
Wilone O'Kielt,Organic Choco Syrup,01-Aug-21,6377,246,455,Other,Delish,,,
Jehu Rudeforth,Mint Chip Choco,01-Aug-21,4599,256,522,Bars,Tempo,,,
Jehu Rudeforth,Orange Choco,01-Aug-21,2751,251,2095,Bars,Tempo,,,
Brien Boise,Eclairs,01-Aug-21,15596,975,3051,Bites,Jucies,,,
Curtice Advani,After Nines,01-Aug-21,8561,330,1904,Bites,Delish,,,
Camilla Castle,Mint Chip Choco,01-Aug-21,14273,752,1670,Bars,Tempo,,,
Dennison Crosswaite,85% Dark Bars,01-Aug-21,2506,148,107,Bars,Yummies,,,
Beverie Moffet,Spicy Special Slims,01-Aug-21,2387,89,926,Bites,Jucies,,,
Andria Kimpton,Drinking Coco,01-Aug-21,7553,280,812,Other,Jucies,,,
Jehu Rudeforth,Peanut Butter Cubes,01-Aug-21,3409,171,765,Bites,Tempo,,,
Kelci Walkden,Peanut Butter Cubes,01-Aug-21,3878,216,1159,Bites,Yummies,,,
Karlen McCaffrey,Raspberry Choco,01-Aug-21,3052,204,1393,Bars,Yummies,,,
Madelene Upcott,Choco Coated Almonds,04-Aug-21,19229,1013,11037,Bites,Jucies,,,
Kelci Walkden,Choco Coated Almonds,04-Aug-21,1988,95,1002,Bites,Yummies,,,
Karlen McCaffrey,Orange Choco,04-Aug-21,147,11,111,Bars,Yummies,,,
Oby Sorrel,Fruit & Nut Bars,04-Aug-21,2401,134,241,Bars,Jucies,,,
Husein Augar,Caramel Stuffed Bars,04-Aug-21,2814,94,87,Bars,Yummies,,,
Curtice Advani,Caramel Stuffed Bars,04-Aug-21,5390,216,233,Bars,Delish,,,
Van Tuxwell,50% Dark Bites,04-Aug-21,3920,262,770,Bites,Yummies,,,
Beverie Moffet,70% Dark Bites,04-Aug-21,7539,943,9172,Bites,Jucies,,,
Van Tuxwell,Organic Choco Syrup,05-Aug-21,17248,664,1358,Other,Yummies,,,
Madelene Upcott,Almond Choco,05-Aug-21,1176,66,811,Bars,Jucies,,,
Rafaelita Blaksland,85% Dark Bars,05-Aug-21,9730,573,463,Bars,Yummies,,,
Marney O'Breen,85% Dark Bars,05-Aug-21,2226,140,116,Bars,Yummies,,,
Madelene Upcott,Fruit & Nut Bars,05-Aug-21,7063,643,1137,Bars,Jucies,,,
Kaine Padly,After Nines,05-Aug-21,7399,275,1779,Bites,Delish,,,
Wilone O'Kielt,Orange Choco,05-Aug-21,4284,306,3119,Bars,Delish,,,
Kaine Padly,Raspberry Choco,05-Aug-21,4865,271,1603,Bars,Delish,,,
Curtice Advani,70% Dark Bites,05-Aug-21,3780,315,2960,Bites,Delish,,,
Jan Morforth,Orange Choco,05-Aug-21,3059,279,2574,Bars,Delish,,,
Husein Augar,After Nines,05-Aug-21,6622,276,1750,Bites,Yummies,,,
Wilone O'Kielt,Smooth Sliky Salty,06-Aug-21,644,34,193,Bars,Delish,,,
Ches Bonnell,After Nines,06-Aug-21,4935,171,1128,Bites,Tempo,,,
Jan Morforth,Peanut Butter Cubes,06-Aug-21,7182,378,1726,Bites,Delish,,,
Andria Kimpton,Orange Choco,06-Aug-21,539,77,697,Bars,Jucies,,,
Oby Sorrel,70% Dark Bites,06-Aug-21,637,91,795,Bites,Jucies,,,
Kaine Padly,Baker's Choco Chips,06-Aug-21,1470,184,1074,Bars,Delish,,,
Brien Boise,85% Dark Bars,06-Aug-21,1442,61,44,Bars,Jucies,,,
Husein Augar,Smooth Sliky Salty,06-Aug-21,9023,564,3143,Bars,Yummies,,,
Gunar Cockshoot,Milk Bars,06-Aug-21,2709,101,177,Bars,Yummies,,,
Beverie Moffet,Choco Coated Almonds,07-Aug-21,5733,338,3954,Bites,Jucies,,,
Gigi Bohling,50% Dark Bites,07-Aug-21,10451,1307,4062,Bites,Delish,,,
Madelene Upcott,Manuka Honey Choco,07-Aug-21,11228,388,3062,Other,Jucies,,,
Kelci Walkden,Caramel Stuffed Bars,07-Aug-21,3073,129,129,Bars,Yummies,,,
Andria Kimpton,85% Dark Bars,07-Aug-21,5467,288,200,Bars,Jucies,,,
Ches Bonnell,Smooth Sliky Salty,07-Aug-21,4067,226,1146,Bars,Tempo,,,
Dennison Crosswaite,Mint Chip Choco,08-Aug-21,2814,149,398,Bars,Yummies,,,
Roddy Speechley,Caramel Stuffed Bars,08-Aug-21,2716,105,110,Bars,Delish,,,
Jehu Rudeforth,Orange Choco,08-Aug-21,3570,325,2941,Bars,Tempo,,,
Karlen McCaffrey,85% Dark Bars,08-Aug-21,9562,479,353,Bars,Yummies,,,
Rafaelita Blaksland,Peanut Butter Cubes,08-Aug-21,2373,104,460,Bites,Yummies,,,
Ches Bonnell,Caramel Stuffed Bars,08-Aug-21,2807,123,117,Bars,Tempo,,,
Brien Boise,Milk Bars,08-Aug-21,420,14,30,Bars,Jucies,,,
Curtice Advani,Raspberry Choco,08-Aug-21,8239,515,3235,Bars,Delish,,,
Gigi Bohling,50% Dark Bites,08-Aug-21,6797,486,1374,Bites,Delish,,,
Jehu Rudeforth,85% Dark Bars,08-Aug-21,6048,319,264,Bars,Tempo,,,
Gigi Bohling,Raspberry Choco,08-Aug-21,364,21,152,Bars,Delish,,,
Beverie Moffet,White Choc,08-Aug-21,6496,406,117,Other,Jucies,,,
Roddy Speechley,Orange Choco,08-Aug-21,1057,106,838,Bars,Delish,,,
Ches Bonnell,Raspberry Choco,08-Aug-21,357,17,99,Bars,Tempo,,,
Ches Bonnell,Drinking Coco,08-Aug-21,6419,257,630,Other,Tempo,,,
Ches Bonnell,Spicy Special Slims,08-Aug-21,12726,579,5012,Bites,Tempo,,,
Marney O'Breen,85% Dark Bars,11-Aug-21,6006,376,259,Bars,Yummies,,,
Kelci Walkden,99% Dark & Pure,11-Aug-21,5124,285,1275,Bars,Yummies,,,
Van Tuxwell,Milk Bars,11-Aug-21,2709,113,209,Bars,Yummies,,,
Barr Faughny,Milk Bars,11-Aug-21,7238,315,693,Bars,Yummies,,,
Curtice Advani,White Choc,12-Aug-21,6776,424,116,Other,Delish,,,
Husein Augar,Milk Bars,12-Aug-21,189,8,16,Bars,Yummies,,,
Ches Bonnell,Fruit & Nut Bars,12-Aug-21,4669,390,603,Bars,Tempo,,,
Barr Faughny,70% Dark Bites,12-Aug-21,490,35,323,Bites,Yummies,,,
Ches Bonnell,70% Dark Bites,12-Aug-21,4235,283,2566,Bites,Tempo,,,
Jan Morforth,Drinking Coco,12-Aug-21,4487,187,496,Other,Delish,,,
Dennison Crosswaite,Baker's Choco Chips,12-Aug-21,2653,332,2362,Bars,Yummies,,,
Wilone O'Kielt,Spicy Special Slims,12-Aug-21,5306,253,2376,Bites,Delish,,,
Marney O'Breen,50% Dark Bites,12-Aug-21,6888,689,1852,Bites,Yummies,,,
Ches Bonnell,Organic Choco Syrup,12-Aug-21,721,24,42,Other,Tempo,,,
Dotty Strutley,Spicy Special Slims,12-Aug-21,8610,345,3431,Bites,Delish,,,
Brien Boise,Fruit & Nut Bars,12-Aug-21,11739,903,1626,Bars,Jucies,,,
Marney O'Breen,Orange Choco,13-Aug-21,4774,341,3416,Bars,Yummies,,,
Brien Boise,50% Dark Bites,13-Aug-21,6307,789,2474,Bites,Jucies,,,
Mallorie Waber,99% Dark & Pure,13-Aug-21,4340,217,930,Bars,Tempo,,,
Andria Kimpton,70% Dark Bites,13-Aug-21,1078,77,673,Bites,Jucies,,,
Jan Morforth,Almond Choco,13-Aug-21,5418,247,3066,Bars,Delish,,,
Gunar Cockshoot,Choco Coated Almonds,13-Aug-21,6069,434,4629,Bites,Yummies,,,
Kelci Walkden,Choco Coated Almonds,13-Aug-21,12334,686,8104,Bites,Yummies,,,
Ches Bonnell,Drinking Coco,13-Aug-21,728,32,83,Other,Tempo,,,
Mallorie Waber,Baker's Choco Chips,13-Aug-21,2135,165,903,Bars,Tempo,,,
